clean_sku,original_sku,product_name,category,subcategory,price,inventory,inventory_date,record_status
CL-KI-9135,CL-KI-9135,Test Product 81 (New),Clothing,Kids,399.07,26.0,2024-09-03 11:06:03.16818,Complete
TO-ED-1950,TO-ED-1950,Test Product 82,Toys,Educational,289.25,96.0,2024-10-12 11:06:03.16821,Complete
BO-RE-1094,BO-RE-1094,,Books,Reference,275.93,10.0,2024-05-29 11:06:03.168269,Complete
TO-OU-6732,TO-OU-6732,Test Product 87,Toys,Outdoor,101.30,53.0,2024-12-14 11:06:03.168358,Complete
TO-GA-9666,TO-GA-9666,Test Product 89 (New),Toys,,297.66,53.0,2024-09-08 11:06:03.168416,Missing subcategory
EL-CA-6975,EL-CA-6975,Test Product 90,Electronics,Cameras,294.49,0.0,2024-12-20 11:06:03.168446,Complete
EL-CA-5243,EL-CA-5243,Test Product 91 (New),Electronics,Cameras,272.18,95.0,2024-09-19 11:06:03.168475,Complete
TO-OU-9914,TO-OU-9914,Test Product 92 (New),Toys,Outdoor,103.44,39.0,,Complete
HO-AP-7645,HO-AP-7645,Test Product 93 [Updated],Home & kitchen,Appliances,253.54,7.0,2024-12-14 11:06:03.169,Complete
BO-NO-3679,BO-NO-3679,Test Product 99 - Latest Model,Books,,401.93,0.0,2024-12-29 11:06:03.168713,Missing subcategory
HO-CO-2386,HO-CO-2386,Test Product 103,Home & kitchen,Cookware,305.54,39.0,2025-01-27 11:06:03.168835,Complete
BO-FI-2333,BO-FI-2333,,Books,Fiction,477.50,35.0,2024-06-13 11:06:03.169,Complete
HO-DE-5090,HO-DE-5090,Test Product 107,Home & kitchen,Decor,475.62,0.0,,Complete
CL-WO-2500,CL-WO-2500,Test Product 110 (New),Clothing,Womens,36.89,0.0,2025-01-24 11:06:03.16905,Complete
BO-RE-4760,BO-RE-4760,Test Product 114 - Latest Model,Books,Reference,155.53,36.0,2024-09-07 11:06:03.16917,Complete
EL-AU-3632,EL-AU-3632,Test Product 115 - Latest Model,Electronics,Audio,343.03,60.0,2024-07-24 11:06:03.1692,Complete
TO-OU-8878,TO-OU-8878,Test Product 116 [Updated],Toys,Outdoor,206.77,73.0,2024-10-23 11:06:03.169231,Complete
HO-AP-7402,HO-AP-7402,Test Product 117 [Updated],Home & kitchen,Appliances,38.34,98.0,2025-01-18 11:06:03.169263,Complete
HO-AP-8657,HO-AP-8657,Test Product 118 - Latest Model,Home & kitchen,Appliances,351.05,12.0,2024-10-10 11:06:03.169293,Complete
BO-RE-6068,BO-RE-6068,,Books,Reference,442.62,66.0,2024-12-13 11:06:03.169384,Complete
HO-FU-2312,HO-FU-2312,Test Product 122 (New),Home & kitchen,Furniture,435.40,47.0,2024-08-22 11:06:03.169414,Complete
HO-CO-4741,HO-CO-4741,Test Product 124 - Latest Model,Home & kitchen,Cookware,,38.0,2024-06-28 11:06:03.169474,Missing price
SP-AC-3064,SP-AC-3064,Test Product 125 [Updated],Sports,Accessories,,69.0,2024-11-25 11:06:03.169503,Missing price
EL-LA-1571,EL-LA-1571,Test Product 126 - Latest Model,Electronics,Laptops,60.23,67.0,2024-07-03 11:06:03.17,Complete
El-Ca-9073,El-Ca-9073,Test Product 127 (New),"",Cameras,314.25,63.0,2024-08-16 11:06:03.17,Complete
SP-FI-6346,SP-FI-6346,Test Product 128 [Updated],"",Fitness,22.05,78.0,2024-12-11 11:06:03.169597,Complete
HO-CO-4356,HO-CO-4356,Test Product 129 [Updated],Home & kitchen,Cookware,231.18,28.0,2024-11-24 11:06:03.169627,Complete
BO-NO-4155,BO-NO-4155,Test Product 130 (New),Books,Non-Fiction,435.35,0.0,2024-04-10 11:06:03.169659,Complete
SP-AC-2682,SP-AC-2682,Test Product 131,Sports,Accessories,162.86,0.0,,Complete
CL-WO-1959,CL-WO-1959,Test Product 133 [Updated],Clothing,Womens,461.22,0.0,2024-03-06 11:06:03.254247,Complete
TO-ED-2875,TO-ED-2875,Test Product 134 [Updated],Toys,Educational,120.51,0.0,2024-02-29 11:06:03.16978,Complete
TO-AR-9905,TO-AR-9905,Test Product 137 [Updated],Toys,Arts & Crafts,169.97,76.0,2024-11-22 11:06:03.169875,Complete
CL-SH-2925,CL-SH-2925,Test Product 139,Clothing,Shoes,35.47,0.0,,Complete
HO-DE-9442,HO-DE-9442,Test Product 140 - Latest Model,Home & kitchen,Decor,448.46,25.0,2025-02-04 11:06:03.169964,Complete
BO-NO-7236,BO-NO-7236,Test Product 143 (New),Books,Non-Fiction,137.63,30.0,,Complete
BO-RE-4453,BO-RE-4453,Test Product 144 [Updated],Books,Reference,276.22,97.0,2024-06-24 11:06:03.170083,Complete
CL-WO-7895,CL-WO-7895,Test Product 146 (New),Clothing,Womens,126.40,68.0,2024-12-28 11:06:03.170141,Complete
EL-AC-7116,EL-AC-7116,Test Product 150 [Updated],Electronics,,423.64,78.0,2024-10-22 11:06:03.170262,Missing subcategory
Cl-Sh-1968,Cl-Sh-1968,,Clothing,Shoes,35.33,58.0,2024-03-19 11:06:03.170293,Complete
EL-PH-5585,EL-PH-5585,Test Product 152 [Updated],Electronics,Phones,482.91,49.0,2024-04-28 11:06:03.170324,Complete
EL-AC-8595,EL-AC-8595,Test Product 153 (New),Electronics,Accessories,24.69,7.0,2024-03-03 11:06:03.17039,Complete
TO-BU-9125,TO-BU-9125,Test Product 156 [Updated],Toys,Building,121.10,94.0,2024-09-09 11:06:03.175581,Complete
Sp-Eq-4230,Sp-Eq-4230,Test Product 157,Sports,Equipment,328.75,18.0,2024-11-17 11:06:03.170529,Complete
SP-EQ-2388,SP-EQ-2388,Test Product 158 - Latest Model,Sports,Equipment,157.02,64.0,2024-11-23 11:06:03.171,Complete
HO-ST-6592,HO-ST-6592,Test Product 159,Home & kitchen,Storage,192.89,0.0,2024-10-20 11:06:03.171,Complete
SP-CL-9234,SP-CL-9234,Test Product 161 [Updated],Sports,Clothing,375.97,20.0,,Complete
CL-AC-8052,CL-AC-8052,Test Product 164 - Latest Model,Clothing,Accessories,62.37,0.0,,Complete
BO-FI-7284,BO-FI-7284,Test Product 165 - Latest Model,Books,,262.44,14.0,2025-01-28 11:06:03.171,Missing subcategory
HO-AP-7295,HO-AP-7295,Test Product 166 [Updated],Home & kitchen,Appliances,135.27,99.0,2024-12-09 11:06:03.171,Complete
CL-SH-7780,CL-SH-7780,,Clothing,Shoes,17.75,67.0,2024-07-04 11:06:03.170906,Complete
TO-GA-7764,TO-GA-7764,Test Product 170 (New),Toys,Games,326.19,96.0,2024-11-29 11:06:03.170935,Complete
EL-CA-4713,EL-CA-4713,Test Product 171 [Updated],Electronics,Cameras,,49.0,2024-12-02 11:06:03.170965,Missing price
TO-AR-8426,TO-AR-8426,Test Product 172 (New),Toys,Arts & Crafts,497.13,97.0,2024-04-27 11:06:03.170994,Complete
BO-CH-1236,BO-CH-1236,Test Product 174 - Latest Model,Books,Children,84.68,64.0,2024-10-09 11:06:03.171053,Complete
To-Bu-7549,To-Bu-7549,Test Product 175 (New),Toys,,,97.0,2024-09-18 11:06:03.171084,Missing price
BO-FI-3408,BO-FI-3408,Test Product 176,Books,,127.14,61.0,2024-09-06 11:06:03.171113,Missing subcategory
BO-NO-2442,BO-NO-2442,Test Product 177 (New),Books,Non-Fiction,496.16,0.0,,Complete
TO-GA-8629,TO-GA-8629,Test Product 178 (New),Toys,Games,113.87,34.0,2024-12-03 11:06:03.171172,Complete
BO-RE-8967,BO-RE-8967,Test Product 181 [Updated],Books,Reference,162.79,59.0,2024-08-31 11:06:03.171262,Complete
HO-ST-9648,HO-ST-9648,Test Product 183 - Latest Model,Home & kitchen,Storage,79.70,6.0,2024-11-19 11:06:03.17132,Complete
BO-FI-2638,BO-FI-2638,,Books,,311.46,37.0,2024-06-21 11:06:03.171349,Missing subcategory
TO-GA-7548,TO-GA-7548,Test Product 186 (New),Toys,Games,295.25,4.0,2024-12-04 11:06:03.171408,Complete
SP-FI-8961,SP-FI-8961,Test Product 188 (New),Sports,Fitness,169.09,92.0,2024-12-27 11:06:03.171467,Complete
Ho-Co-9123,Ho-Co-9123,Test Product 190 [Updated],Home & kitchen,Cookware,322.23,71.0,2024-11-20 11:06:03.171527,Complete
EL-CA-8340,EL-CA-8340,Test Product 191 - Latest Model,Electronics,Cameras,,0.0,2024-11-12 11:06:03.172,Missing price
Cl-Me-9599,Cl-Me-9599,Test Product 192 - Latest Model,Clothing,Mens,478.69,99.0,2024-09-21 11:06:03.172,Complete
EL-PH-5285,EL-PH-5285,Test Product 195 - Latest Model,Electronics,Phones,401.37,12.0,2024-08-10 11:06:03.17168,Complete
El-Ca-4537,El-Ca-4537,Test Product 199 (New),Electronics,Cameras,365.73,22.0,2024-11-11 11:06:03.171801,Complete
BO-RE-2724,BO-RE-2724,Test Product 200,Books,Reference,155.80,38.0,2024-10-22 11:06:03.171836,Complete
HO-CO-4081,HO-CO-4081,Test Product 202,Home & kitchen,Cookware,311.83,12.0,2024-11-13 11:06:03.171902,Complete
HO-CO-4083,HO-CO-4083,Test Product 203,Home & kitchen,,377.28,15.0,2024-06-09 11:06:03.171933,Missing subcategory
TO-OU-3179,TO-OU-3179,Test Product 204 - Latest Model,Toys,Outdoor,363.81,36.0,2024-06-22 11:06:03.172,Complete
To-Ou-1541,To-Ou-1541,Test Product 207 (New),Toys,Outdoor,396.42,99.0,2024-02-23 11:06:03.172065,Complete
EL-CA-3010,EL-CA-3010,Test Product 209 - Latest Model,Electronics,Cameras,421.50,15.0,2024-03-19 11:06:03.172129,Complete
SP-FI-4331,SP-FI-4331,Test Product 212 (New),Sports,Fitness,253.27,69.0,2024-04-16 11:06:03.172223,Complete
TO-AR-8736,TO-AR-8736,Test Product 213 - Latest Model,Toys,Arts & Crafts,241.31,29.0,2024-03-02 11:06:03.172256,Complete
BO-ED-9461,BO-ED-9461,Test Product 214 [Updated],Books,Educational,191.89,69.0,2024-12-25 11:06:03.172288,Complete
EL-AU-3643,EL-AU-3643,Test Product 215 (New),Electronics,Audio,78.23,6.0,2024-11-29 11:06:03.172319,Complete
HO-FU-7342,HO-FU-7342,Test Product 216,Home & kitchen,Furniture,215.21,57.0,2025-01-17 11:06:03.17235,Complete
HO-ST-7633,HO-ST-7633,Test Product 218,"",,285.00,97.0,2025-01-10 11:06:03.172411,Missing subcategory
El-La-4750,El-La-4750,Test Product 220 (New),Electronics,Laptops,395.62,98.0,2024-07-30 11:06:03.172471,Complete
Bo-No-3555,Bo-No-3555,Test Product 224 [Updated],Books,Non-Fiction,145.46,14.0,2024-06-14 11:06:03.173,Complete
EL-AU-1687,EL-AU-1687,Test Product 226 - Latest Model,Electronics,Audio,405.32,8.0,2025-01-26 11:06:03.17265,Complete
CL-ME-6108,CL-ME-6108,Test Product 227,Clothing,Mens,168.28,58.0,2024-06-05 11:06:03.173,Complete
BO-NO-8544,BO-NO-8544,Test Product 229 - Latest Model,Books,Non-Fiction,329.32,85.0,2024-09-29 11:06:03.17274,Complete
CL-WO-8096,CL-WO-8096,Test Product 231 - Latest Model,Clothing,Womens,182.66,14.0,2024-02-26 11:06:03.173,Complete
EL-AC-7040,EL-AC-7040,Test Product 233 - Latest Model,Electronics,Accessories,114.20,0.0,2024-09-18 11:06:03.172864,Complete
BO-CH-1392,BO-CH-1392,Test Product 234 - Latest Model,Books,Children,450.44,90.0,2024-11-08 11:06:03.172899,Complete
HO-DE-6661,HO-DE-6661,Test Product 235 - Latest Model,Home & kitchen,Decor,217.05,25.0,2024-10-28 11:06:03.172931,Complete
TO-ED-3946,TO-ED-3946,Test Product 236 (New),Toys,Educational,421.34,72.0,2024-06-01 11:06:03.172962,Complete
BO-FI-3990,BO-FI-3990,Test Product 237 [Updated],Books,Fiction,354.81,29.0,2024-05-18 11:06:03.172992,Complete
EL-CA-2762,EL-CA-2762,Test Product 238,Electronics,Cameras,374.16,7.0,2025-02-05 11:06:03.173023,Complete
EL-AU-4198,EL-AU-4198,Test Product 239 - Latest Model,Electronics,Audio,127.36,0.0,,Complete
TO-GA-1660,TO-GA-1660,Test Product 240,Toys,Games,117.91,72.0,2024-03-20 11:06:03.173083,Complete
BO-RE-8986,BO-RE-8986,Test Product 242 (New),Books,Reference,354.29,0.0,2024-05-23 11:06:03.173143,Complete
EL-AC-6410,EL-AC-6410,Test Product 245 [Updated],Electronics,Accessories,111.43,0.0,2024-08-01 11:06:03.173232,Complete
SP-EQ-1855,SP-EQ-1855,Test Product 247,"",Equipment,,10.0,2024-09-13 11:06:03.173292,Missing price
SP-EQ-8064,SP-EQ-8064,Test Product 254 - Latest Model,Sports,Equipment,43.02,35.0,2024-10-31 11:06:03.173507,Complete
SP-EQ-4259,SP-EQ-4259,Test Product 255 [Updated],Sports,Equipment,412.99,62.0,2025-01-15 11:06:03.173536,Complete
CL-WO-2141,CL-WO-2141,Test Product 256 [Updated],Clothing,Womens,267.65,6.0,2024-07-26 11:06:03.174,Complete
SP-EQ-6906,SP-EQ-6906,Test Product 257,Sports,Equipment,195.67,90.0,2024-10-04 11:06:03.173597,Complete
SP-OU-2932,SP-OU-2932,Test Product 262 (New),Sports,,130.98,97.0,2024-10-21 11:06:03.173748,Missing subcategory
Cl-Wo-1382,Cl-Wo-1382,Test Product 263 [Updated],Clothing,Womens,417.04,62.0,2024-05-03 11:06:03.173778,Complete
SP-FI-3660,SP-FI-3660,Test Product 265 [Updated],Sports,Fitness,74.86,53.0,2024-08-18 11:06:03.173842,Complete
HO-DE-8166,HO-DE-8166,Test Product 267 - Latest Model,Home & kitchen,Decor,,14.0,2024-07-19 11:06:03.173901,Missing price
EL-AC-7068,EL-AC-7068,Test Product 268 (New),"",Accessories,227.29,6.0,2024-02-08 11:06:03.173931,Complete
SP-OU-3767,SP-OU-3767,Test Product 270 (New),Sports,Outdoor,221.01,41.0,2024-03-24 11:06:03.17399,Complete
TO-BU-7337,TO-BU-7337,Test Product 271,Toys,Building,113.25,0.0,2024-05-19 11:06:03.17402,Complete
Ho-Ap-9733,Ho-Ap-9733,Test Product 272 - Latest Model,Home & kitchen,Appliances,177.47,0.0,2024-09-24 11:06:03.17405,Complete
SP-FI-9448,SP-FI-9448,Test Product 273 [Updated],Sports,Fitness,61.16,77.0,2024-05-23 11:06:03.174082,Complete
EL-LA-8823,EL-LA-8823,Test Product 275 (New),Electronics,Laptops,45.72,33.0,2024-04-18 11:06:03.174141,Complete
Cl-Ki-8398,Cl-Ki-8398,Test Product 276,Clothing,Kids,279.00,0.0,2024-12-16 11:06:03.174172,Complete
CL-ME-1182,CL-ME-1182,Test Product 277 - Latest Model,Clothing,Mens,232.43,0.0,,Complete
HO-CO-9244,HO-CO-9244,Test Product 278 [Updated],Home & kitchen,Cookware,286.01,7.0,2025-01-26 11:06:03.174232,Complete
To-Ed-7056,To-Ed-7056,Test Product 280 (New),Toys,,373.04,64.0,2024-10-23 11:06:03.174295,Missing subcategory
SP-EQ-7361,SP-EQ-7361,Test Product 282,Sports,Equipment,320.03,0.0,2024-07-09 11:06:03.174356,Complete
Bo-Re-2124,Bo-Re-2124,Test Product 284 (New),Books,Reference,255.20,17.0,2024-05-27 11:06:03.174417,Complete
BO-NO-7469,BO-NO-7469,Test Product 287 [Updated],Books,Non-Fiction,344.28,20.0,2024-05-31 11:06:03.175,Complete
HO-AP-1674,HO-AP-1674,Test Product 289,Home & kitchen,Appliances,171.82,0.0,2024-08-20 11:06:03.174569,Complete
EL-PH-9835,EL-PH-9835,Test Product 293 [Updated],"",Phones,121.84,78.0,2024-10-06 11:06:03.174691,Complete
BO-CH-2072,BO-CH-2072,Test Product 296 - Latest Model,"",Children,152.35,45.0,2024-06-10 11:06:03.17478,Complete
HO-AP-8763,HO-AP-8763,Test Product 297 [Updated],Home & kitchen,Appliances,32.15,97.0,2025-01-23 11:06:03.17481,Complete
BO-FI-3743,BO-FI-3743,Test Product 300 [Updated],Books,Fiction,266.04,0.0,2024-11-07 11:06:03.209,Complete
TO-GA-1619,TO-GA-1619,Test Product 301 - Latest Model,Toys,Games,430.25,42.0,2024-03-02 11:06:03.195461,Complete
HO-DE-4638,HO-DE-4638,Test Product 304 [Updated],Home & kitchen,Decor,134.37,12.0,2024-08-18 11:06:03.175025,Complete
To-Ou-4674,To-Ou-4674,Test Product 306 (New),Toys,Outdoor,395.90,90.0,2024-11-17 11:06:03.175084,Complete
BO-FI-9345,BO-FI-9345,Test Product 307,Books,Fiction,23.48,4.0,2024-07-29 11:06:03.175113,Complete
EL-LA-3780,EL-LA-3780,Test Product 308 [Updated],Electronics,Laptops,223.94,25.0,2024-10-21 11:06:03.175143,Complete
CL-AC-5570,CL-AC-5570,Test Product 310 [Updated],Clothing,,440.95,26.0,2024-12-29 11:06:03.175208,Missing subcategory
SP-FI-4607,SP-FI-4607,Test Product 311 [Updated],Sports,Fitness,84.28,22.0,2024-02-08 11:06:03.175247,Complete
SP-OU-1824,SP-OU-1824,Test Product 312,Sports,Outdoor,266.03,6.0,2024-10-27 11:06:03.175278,Complete
TO-BU-6634,TO-BU-6634,Test Product 313 [Updated],Toys,Building,367.38,35.0,2024-06-13 11:06:03.175309,Complete
EL-AU-2849,EL-AU-2849,Test Product 314 (New),Electronics,Audio,410.83,56.0,2024-12-22 11:06:03.17534,Complete
CL-WO-9712,CL-WO-9712,Test Product 316,Clothing,Womens,30.79,51.0,2024-10-19 11:06:03.175401,Complete
TO-BU-9125,TO-BU-9125,Test Product 322 - Latest Model,Toys,Building,121.10,94.0,2024-09-09 11:06:03.175581,Complete
SP-FI-7358,SP-FI-7358,Test Product 326 - Latest Model,Sports,Fitness,304.54,62.0,2024-07-20 11:06:03.175704,Complete
HO-DE-4802,HO-DE-4802,Test Product 328,Home & kitchen,Decor,139.50,79.0,2025-02-05 11:06:03.176,Complete
BO-NO-9345,BO-NO-9345,Test Product 329 - Latest Model,Books,,94.33,0.0,2024-09-12 11:06:03.176,Missing subcategory
EL-PH-2920,EL-PH-2920,Test Product 333 (New),Electronics,Phones,421.50,47.0,2024-08-25 11:06:03.176,Complete
El-La-3101,El-La-3101,Test Product 334 (New),Electronics,Laptops,376.71,14.0,2024-09-28 11:06:03.176,Complete
SP-CL-2337,SP-CL-2337,Test Product 337,Sports,Clothing,49.76,37.0,2024-10-03 11:06:03.176051,Complete
HO-FU-7915,HO-FU-7915,Test Product 341 (New),Home & kitchen,Furniture,37.53,78.0,2024-10-01 11:06:03.17617,Complete
CL-WO-2637,CL-WO-2637,,Clothing,Womens,263.05,0.0,2024-10-21 11:06:03.1762,Complete
EL-AU-3591,EL-AU-3591,Test Product 344 - Latest Model,Electronics,Audio,170.10,38.0,2024-03-08 11:06:03.176262,Complete
EL-PH-1136,EL-PH-1136,Test Product 345 (New),Electronics,Phones,,41.0,2024-11-12 11:06:03.176293,Missing price
EL-CA-7968,EL-CA-7968,Test Product 346 - Latest Model,Electronics,Cameras,88.58,13.0,2024-09-22 11:06:03.362341,Complete
SP-EQ-1596,SP-EQ-1596,Test Product 347 (New),Sports,Equipment,396.82,29.0,2024-07-13 11:06:03.176358,Complete
TO-OU-9690,TO-OU-9690,Test Product 348 (New),Toys,Outdoor,320.97,27.0,2025-01-27 11:06:03.176388,Complete
CL-ME-5434,CL-ME-5434,Test Product 354 - Latest Model,Clothing,Mens,442.45,0.0,,Complete
HO-FU-9385,HO-FU-9385,Test Product 355 [Updated],Home & kitchen,Furniture,244.84,78.0,2024-07-02 11:06:03.177,Complete
CL-KI-6951,CL-KI-6951,Test Product 357 [Updated],Clothing,Kids,191.09,94.0,2024-10-23 11:06:03.176663,Complete
CL-KI-1670,CL-KI-1670,Test Product 358 [Updated],Clothing,Kids,60.80,72.0,2024-06-02 11:06:03.177,Complete
HO-ST-3854,HO-ST-3854,Test Product 359 [Updated],Home & kitchen,Storage,78.76,28.0,2024-12-10 11:06:03.176723,Complete
BO-FI-2925,BO-FI-2925,Test Product 360,Books,Fiction,136.53,89.0,2024-04-21 11:06:03.176753,Complete
HO-ST-4645,HO-ST-4645,Test Product 361 (New),Home & kitchen,Storage,483.57,30.0,2024-07-01 11:06:03.346,Complete
SP-AC-7859,SP-AC-7859,Test Product 362 (New),"",Accessories,102.08,11.0,2024-02-27 11:06:03.176812,Complete
SP-AC-8957,SP-AC-8957,Test Product 364 (New),"",,409.32,69.0,2024-03-04 11:06:03.177,Missing subcategory
Sp-Fi-1689,Sp-Fi-1689,,Sports,Fitness,449.98,28.0,2024-10-26 11:06:03.176941,Complete
SP-CL-3378,SP-CL-3378,Test Product 367,Sports,Clothing,42.96,42.0,2024-04-26 11:06:03.177,Complete
SP-AC-7644,SP-AC-7644,,Sports,Accessories,18.40,99.0,2024-08-08 11:06:03.17703,Complete
HO-CO-8832,HO-CO-8832,Test Product 371 [Updated],Home & kitchen,Cookware,,27.0,2024-07-25 11:06:03.177092,Missing price
CL-SH-3827,CL-SH-3827,Test Product 372 (New),Clothing,Shoes,,74.0,2024-04-25 11:06:03.177122,Missing price
CL-SH-7837,CL-SH-7837,Test Product 373 (New),Clothing,Shoes,463.27,0.0,2024-08-09 11:06:03.177151,Complete
HO-FU-7982,HO-FU-7982,Test Product 374 [Updated],Home & kitchen,Furniture,110.04,80.0,2024-11-06 11:06:03.177182,Complete
CL-SH-6047,CL-SH-6047,Test Product 378 [Updated],Clothing,Shoes,402.04,50.0,2024-07-10 11:06:03.177301,Complete
SP-CL-4294,SP-CL-4294,Test Product 379 - Latest Model,Sports,Clothing,470.98,52.0,2024-10-11 11:06:03.17733,Complete
BO-ED-1861,BO-ED-1861,Test Product 382 [Updated],Books,Educational,135.67,95.0,2025-01-02 11:06:03.177419,Complete
EL-LA-7324,EL-LA-7324,Test Product 385 [Updated],Electronics,Laptops,103.46,75.0,2024-10-24 11:06:03.178,Complete
CL-AC-1226,CL-AC-1226,Test Product 387 [Updated],Clothing,Accessories,170.83,61.0,2024-02-08 11:06:03.178,Complete
EL-AU-4262,EL-AU-4262,Test Product 389 (New),Electronics,Audio,91.00,97.0,2024-07-14 11:06:03.178,Complete
Ho-Fu-9519,Ho-Fu-9519,Test Product 393 [Updated],Home & kitchen,Furniture,395.05,0.0,2024-08-02 11:06:03.178,Complete
